,collocate,raw_frequency,MI
0,PROPRIETRESS,1,7.029499161214424
1,STOUT,1,5.525421764438151
2,GOOD,1,2.3520083136467074
3,NATURED,1,6.33635198065448
4,FROWNING,1,7.029499161214424
5,SKY,1,5.6432048000945345
6,BETOOK,1,7.72264634177437
7,BUILDS,1,7.72264634177437
8,BRICK,1,7.029499161214424
9,HAVE,1,1.0932830883369213
10,EQUAL,1,6.33635198065448
11,FIRST,1,2.8551118913187876
12,VISIT,1,4.50377051690617
13,SALUTED,1,6.33635198065448
14,US,1,2.5521623467362184
15,BOTH,1,3.5329915997479446
16,THEREFORE,1,3.5955119567292786
17,STAYING,1,6.113208429340269
18,CHAPERONAGE,1,7.029499161214424
19,MAN,1,2.4651509697465883
20,PROMISED,1,5.324751068975999
21,TEMPORARY,1,6.33635198065448
22,RESIDENT,1,7.72264634177437
23,EMPLOYED,1,5.930886872546315
24,DR,1,4.7782073626079296
25,CASIMIR,1,3.6451088978686506
26,NERVES,1,5.930886872546315
27,STRANGE,1,3.328197187101931
28,LAUGHED,1,4.009074275070062
29,STORY,1,4.111728429130146
30,ARRANGEMENT,1,5.776736192719056
31,ESSENTIALLY,1,7.72264634177437
32,LED,1,4.50377051690617
33,MODEL,1,5.324751068975999
34,PERFECT,1,3.961446226080808
35,PEACE,1,5.525421764438151
36,HARMONY,1,6.113208429340269
37,GOT,1,4.2886591372892235
38,PICTURE,1,3.810623336346224
39,WAGNER,1,5.776736192719056
40,PAINTED,1,5.1576969843128335
41,SENATE,1,7.72264634177437
42,POOR,1,3.517953722383404
43,PERISHABLE,1,5.930886872546315
44,LUMP,1,6.33635198065448
45,EIGHT,1,5.083589012159111
46,BEGINNING,1,4.631603888416054
47,SOB,1,7.029499161214424
48,BANSHEE,1,7.72264634177437
49,HARK,1,7.72264634177437
50,FREE,1,4.58715212584522
51,ANYWHERE,1,5.930886872546315
52,AVOIDING,1,7.72264634177437
53,STUDIO,1,4.0590846956447235
54,HOSPITALITY,1,6.62403405310626
55,PRETEND,1,6.33635198065448
56,FRIENDSHIP,1,5.23773969198637
57,INTENSE,1,4.889432997718154
58,MORNING,1,3.391913001488039
59,DELIGHTS,1,7.029499161214424
60,ORDER,1,4.464549803752888
61,RESUME,1,5.776736192719056
62,UNLOCKING,1,7.72264634177437
63,STORE,1,4.50377051690617
64,MUSIC,1,3.365937515084778
65,FREEDOM,1,7.029499161214424
66,TEST,1,7.72264634177437
67,ACROSS,1,4.321448960112215
68,Y,1,7.72264634177437
69,WIND,1,4.678123904050947
70,FILLED,1,4.22613878030789
71,SITTING,1,4.464549803752888
72,CRAZILY,1,7.72264634177437
73,CARDS,1,7.72264634177437
74,HUGE,1,5.01459614067216
75,CENTRAL,1,4.58715212584522
76,YOURSELF,1,3.67959507393982
77,PARTICULAR,1,4.631603888416054
78,PAINT,1,5.525421764438151
79,LIGHT,1,2.8173715633359406
80,PEACHES,1,6.62403405310626
81,PLANTAINS,1,7.029499161214424
82,GRAPES,1,6.62403405310626
83,EVEN,1,2.773886451396202
84,ECHOED,1,7.72264634177437
85,THROUGHOUT,1,6.113208429340269
86,SHUDDERED,1,6.33635198065448
87,SHORT,1,4.58715212584522
88,PRAYING,1,7.029499161214424
89,UNCHANGED,1,7.029499161214424
90,SISTER,1,4.22613878030789
91,FIGHT,1,6.113208429340269
92,TOO,1,2.635050006541986
93,RESIDENCE,1,6.62403405310626
94,ACCURSED,1,7.72264634177437
95,HAS,1,2.18925685304685
96,BETTER,1,3.20085776472533
97,SEEK,1,4.631603888416054
98,NO,1,1.578460707648724
99,AVENGE,1,7.029499161214424
100,WINDOWS,1,5.083589012159111
101,VISITORS,1,5.776736192719056
102,MIGHT,1,2.9435228486628406
103,DOMESTICS,1,5.930886872546315
104,THEN,1,1.995798594187173
105,PLEASE,1,4.426809475770041
106,EXPERIENCED,1,4.950057619534589
107,BEYOND,1,4.950057619534589
108,MAY,1,2.935154598992324
109,EXAMINE,1,5.6432048000945345
110,WING,1,7.029499161214424
111,COMMON,1,4.726914068220379
112,FLY,1,6.33635198065448
113,WITHOUT,1,3.328197187101931
114,AID,1,6.113208429340269
115,CALLING,1,5.6432048000945345
116,RUN,1,5.083589012159111
117,STAIRS,1,5.6432048000945345
118,FUTURE,1,4.256910438974644
119,DEATH,1,3.23400997204223
120,COOK,1,6.33635198065448
121,NURSE,1,6.62403405310626
122,COUPE,1,6.113208429340269
123,STANDING,1,4.321448960112215
124,CHEAP,1,6.113208429340269
125,INSIGNIFICANT,1,7.029499161214424
126,SORT,1,3.4885398371771106
127,ERROL,1,3.5955119567292786
128,VICTOR,1,7.72264634177437
129,SAME,1,3.432186900625979
130,THOUGHT,1,2.4293415170498776
131,LIPS,1,3.894004945285275
132,LIKED,1,4.355350511787896
133,DIDN,1,4.50377051690617
134,REAL,1,4.464549803752888
135,PARTING,1,4.889432997718154
136,PUT,1,3.23400997204223
137,HIMSELF,1,2.4808993267147277
138,DARKNESS,1,4.321448960112215
139,THINGS,1,2.6537421395541387
140,PRETTY,1,3.6283017795522694
141,ISN,1,4.631603888416054
142,GLAD,1,3.8308260436637434
143,HERE,1,2.8398444191879992
144,COMPARED,1,5.930886872546315
145,FUR,1,5.23773969198637
146,HEARTH,1,5.420061248780324
147,RUG,1,5.1576969843128335
148,KAPER,1,7.72264634177437
149,MA,1,5.1576969843128335
150,OBLIGED,1,4.58715212584522
151,ACCEPT,1,4.5445925114264245
152,THANK,1,4.426809475770041
153,RAN,1,4.464549803752888
154,CAME,1,2.795392656617165
155,TURNING,1,4.5445925114264245
156,APPLYING,1,7.72264634177437
157,ABUSIVE,1,7.72264634177437
158,BRIDGET,1,4.50377051690617
159,OUR,1,2.718700035828911
160,CRY,1,5.083589012159111
161,EVENING,1,3.8724987400643114
162,MR,1,1.8849158946084301
163,BEAUTIFUL,1,2.960472406976614
164,ANYTHING,1,3.2918295429310565
165,ABOUT,1,2.073672103613164
166,WISTFULLY,1,5.525421764438151
167,BIG,1,3.611772477601059
168,PEOPLE,1,2.7668192841731094
169,AWAY,1,2.862833937412698
170,BOY,1,2.486204378944421
171,INSTEAD,1,4.631603888416054
172,ASLEEP,1,6.33635198065448
173,BEDROOM,1,6.33635198065448
174,ER,1,7.72264634177437
175,LORD,1,2.486204378944421
176,SMILE,1,3.328197187101931
177,M,1,3.365937515084778
178,DONE,1,3.6451088978686506
179,EXCHANGED,1,7.029499161214424
180,GLANCES,1,6.62403405310626
181,PART,1,3.548259071878733
182,ENGLAND,1,3.961446226080808
183,MANY,1,2.7053665049594455
184,V,1,6.33635198065448
185,SHORTS,1,7.72264634177437
186,UPPER,1,7.029499161214424
187,FRIENDLY,1,4.196285817158209
188,COTTAGES,1,5.525421764438151
189,BAD,1,4.13912740331826
190,BEHAVIOR,1,7.72264634177437
191,BUTLER,1,7.029499161214424
192,FOOTMEN,1,6.62403405310626
193,TH,1,7.72264634177437
194,WALK,1,4.3904418315991665
195,PAST,1,4.58715212584522
196,LEANED,1,4.950057619534589
197,AIN,1,7.029499161214424
198,TREES,1,4.3904418315991665
199,WIDE,1,4.58715212584522
200,OPEN,1,3.7523544282222483
201,COURT,1,4.426809475770041
202,SORROW,1,4.7782073626079296
203,POVERTY,1,6.33635198065448
204,BROUGHAM,1,6.113208429340269
205,OFTEN,1,3.6622033312279507
206,ST,1,5.930886872546315
207,SEW,1,7.72264634177437
208,THOSE,1,2.7390397200660335
209,THINKING,1,4.13912740331826
210,HOW,1,2.1971934026425863
211,END,1,3.715313156541899
212,VILLAGE,1,5.1576969843128335
213,TOGETHER,1,3.365937515084778
214,DILAPIDATED,1,7.72264634177437
215,MISERABLE,1,5.01459614067216
216,CARELESS,1,6.113208429340269
217,PULLED,1,5.23773969198637
218,NEW,1,3.2918295429310565
219,BUILT,1,5.930886872546315
220,LORDS,1,5.420061248780324
221,MOMENT,1,3.5031386365982633
222,LODGING,1,7.72264634177437
223,LONDON,1,4.5445925114264245
224,EARL,1,1.8421133553736697
225,UNTIL,1,4.50377051690617
226,LIVED,1,3.894004945285275
227,MARRIED,1,5.083589012159111
228,SET,1,3.984976723491002
229,ROOMS,1,4.631603888416054
230,N,1,4.678123904050947
231,WOMAN,1,3.059207247662303
232,O,1,4.111728429130146
233,TOLD,1,3.0405151146501503
234,ME,1,0.6054408386100257
235,MINNA,1,6.33635198065448
236,D,1,3.5329915997479446
237,STOPPED,1,4.631603888416054
238,OPPOSITE,1,5.23773969198637
239,STARING,1,5.525421764438151
240,LET,1,3.0879173535447344
241,INTO,1,2.2011854239121234
