,collocate,raw_frequency,MI
0,american,1,5.7731080601052644
1,accordance,1,5.7731080601052644
2,retold,1,5.7731080601052644
3,exactly,1,3.4705229671112185
4,sabre,1,4.6744957714371544
5,nut,1,5.079960879545319
6,pigtail,1,5.079960879545319
7,falling,1,2.44090354993006
8,matey,1,4.386813698985374
9,trundled,1,5.079960879545319
10,bacon,1,4.386813698985374
11,eggs,1,5.079960879545319
12,fierce,1,4.163670147671164
13,obeyed,1,3.6936665184254283
14,strike,1,2.8827363022090995
15,custom,1,3.981348590877209
16,admiral,1,2.777375786551273
17,saying,1,1.8812877619946375
18,coltish,1,5.7731080601052644
19,supposed,1,2.44090354993006
20,legged,1,3.981348590877209
21,evenings,1,5.7731080601052644
22,2,1,4.386813698985374
23,parlour,1,3.065057859003054
24,former,1,3.4705229671112185
25,fawning,1,5.7731080601052644
26,ghost,1,4.6744957714371544
27,signboard,1,4.6744957714371544
28,bewildered,1,3.4705229671112185
29,stroke,1,3.2081587026437273
30,sketch,1,5.7731080601052644
31,bible,1,2.8827363022090995
32,trouble,1,2.6376138441761143
33,hoist,1,4.6744957714371544
34,upstairs,1,3.5758834827690444
35,horrors,1,5.079960879545319
36,rough,1,2.2766004986387838
37,behaviour,1,3.065057859003054
38,today,1,4.386813698985374
39,remark,1,3.2882014103172637
40,drugs,1,5.079960879545319
41,steep,1,3.5758834827690444
42,mountain,1,3.5758834827690444
43,inform,1,5.079960879545319
44,precious,1,3.2882014103172637
45,cove,1,3.375212787306894
46,withdraw,1,4.6744957714371544
47,march,1,2.8827363022090995
48,cold,1,1.8812877619946375
49,ugly,1,3.6936665184254283
50,cowed,1,5.079960879545319
51,dazed,1,5.7731080601052644
52,liked,1,2.8286690809388237
53,booty,1,4.163670147671164
54,payment,1,5.7731080601052644
55,debts,1,5.7731080601052644
56,fog,1,3.375212787306894
57,hamlet,1,2.777375786551273
58,yards,1,2.5950542297573187
59,minutes,1,2.777375786551273
60,outside,1,2.3391208556201177
61,whitened,1,5.7731080601052644
62,harbour,1,2.44090354993006
63,bar,1,2.728585622381841
64,rogues,1,3.375212787306894
65,tap,1,3.827197911049951
66,tapping,1,4.163670147671164
67,frozen,1,3.375212787306894
68,frightened,1,3.6936665184254283
69,bush,1,3.6936665184254283
70,lantern,1,3.827197911049951
71,mist,1,5.079960879545319
72,middle,1,2.8827363022090995
73,trio,1,5.079960879545319
74,commands,1,3.981348590877209
75,sounded,1,2.3073721573055375
76,louder,1,3.2882014103172637
77,swore,1,4.386813698985374
78,broken,1,1.9444666636161692
79,glass,1,1.9019070491973733
80,nohow,1,4.6744957714371544
81,trumpet,1,3.4705229671112185
82,chance,1,2.0354384418218956
83,dispatch,1,5.7731080601052644
84,cutter,1,5.7731080601052644
85,magistrate,1,5.079960879545319
86,six,1,1.861085054677118
87,scraps,1,5.079960879545319
88,souls,1,4.386813698985374
89,coral,1,5.7731080601052644
90,thrifty,1,4.6744957714371544
91,wasn,1,3.981348590877209
92,undertaking,1,5.7731080601052644
93,admirable,1,4.163670147671164
94,required,1,3.4705229671112185
95,sailing,1,3.6936665184254283
96,stiff,1,2.8286690809388237
97,regret,1,4.163670147671164
98,unearthed,1,5.7731080601052644
99,fashion,1,3.981348590877209
100,substance,1,5.7731080601052644
101,leaves,1,3.2882014103172637
102,despised,1,4.6744957714371544
103,spite,1,3.375212787306894
104,sailors,1,3.827197911049951
105,rings,1,5.079960879545319
106,kings,1,4.386813698985374
107,archbishops,1,5.7731080601052644
108,enter,1,3.6936665184254283
109,crutch,1,2.5950542297573187
110,dexterity,1,4.386813698985374
111,propped,1,4.163670147671164
112,tallow,1,5.079960879545319
113,wanting,1,2.939894716049048
114,fingers,1,2.777375786551273
115,step,1,1.9229604583952056
116,stupid,1,3.827197911049951
117,blessed,1,2.8286690809388237
118,confounded,1,4.386813698985374
119,suits,1,5.7731080601052644
120,perfect,1,3.375212787306894
121,trump,1,4.6744957714371544
122,declared,1,3.2882014103172637
123,heads,1,2.5542322352370634
124,sterns,1,5.7731080601052644
125,sharp,1,2.6820656067469484
126,bid,1,2.939894716049048
127,knows,1,3.375212787306894
128,safety,1,2.3073721573055375
129,notions,1,5.079960879545319
130,believed,1,3.4705229671112185
131,conduct,1,3.1340507304900056
132,unsailorly,1,5.7731080601052644
133,downright,1,4.386813698985374
134,berths,1,4.386813698985374
135,supper,1,3.2081587026437273
136,galley,1,4.163670147671164
137,capstan,1,4.386813698985374
138,bars,1,3.827197911049951
139,shrill,1,3.065057859003054
140,likeliest,1,5.079960879545319
141,wily,1,5.079960879545319
142,trusted,1,3.6936665184254283
143,quickly,1,4.6744957714371544
144,reduced,1,5.079960879545319
145,barbecue,1,3.827197911049951
146,swear,1,2.3391208556201177
147,nearer,1,1.730056792270714
148,expect,1,3.2081587026437273
149,trifle,1,3.6936665184254283
150,birthday,1,5.7731080601052644
151,helm,1,3.981348590877209
152,doing,1,2.2177599986158505
153,clash,1,3.375212787306894
154,jump,1,3.5758834827690444
155,davis,1,5.7731080601052644
156,timbers,1,3.6936665184254283
157,starving,1,5.079960879545319
158,begged,1,3.4705229671112185
159,fools,1,3.6936665184254283
160,imagine,1,3.4705229671112185
161,earnest,1,3.5758834827690444
162,boasting,1,5.079960879545319
163,finer,1,4.6744957714371544
164,figurehead,1,5.7731080601052644
165,terms,1,3.375212787306894
166,plainly,1,2.2766004986387838
167,meaning,1,3.000519337865483
168,whistle,1,2.3719106784431085
169,strolled,1,4.6744957714371544
170,rate,1,3.000519337865483
171,crossin,1,5.7731080601052644
172,drying,1,5.079960879545319
173,cook,1,2.1621901474610397
174,billy,1,3.2081587026437273
175,coxswain,1,3.065057859003054
176,audible,1,3.2882014103172637
177,jine,1,4.386813698985374
178,hence,1,3.981348590877209
179,asks,1,5.079960879545319
180,showed,1,2.0842286059913278
181,signs,1,3.981348590877209
182,remarkable,1,3.375212787306894
183,remarkably,1,5.7731080601052644
184,lookout,1,3.981348590877209
185,lower,1,2.8827363022090995
186,trees,1,1.4690429669010945
187,pine,1,3.6936665184254283
188,jumping,1,4.163670147671164
189,cling,1,5.7731080601052644
190,warped,1,5.7731080601052644
191,instead,1,2.939894716049048
192,conned,1,5.7731080601052644
193,everywhere,1,4.386813698985374
194,dug,1,4.386813698985374
195,spade,1,5.079960879545319
196,mend,1,3.827197911049951
197,example,1,3.375212787306894
198,lighter,1,4.386813698985374
199,ahead,1,3.827197911049951
200,distant,1,3.065057859003054
201,low,1,1.6459736750601726
202,tones,1,3.5758834827690444
203,favourable,1,3.981348590877209
204,appeal,1,3.6936665184254283
205,observed,1,1.8028161465531423
206,turvy,1,5.7731080601052644
207,bells,1,3.4705229671112185
208,ringing,1,3.6936665184254283
209,actually,1,3.6936665184254283
210,cruelly,1,3.375212787306894
211,short,1,1.7126650495588447
212,speed,1,2.059535993400956
213,bear,1,1.747756369370115
214,monkey,1,4.6744957714371544
215,flitted,1,4.6744957714371544
216,deer,1,3.1340507304900056
217,running,1,1.8218643415238367
218,double,1,2.777375786551273
219,resolutely,1,4.163670147671164
220,oysters,1,5.7731080601052644
221,pious,1,3.981348590877209
222,providence,1,3.981348590877209
223,rid,1,3.5758834827690444
224,confidential,1,4.386813698985374
225,puts,1,4.386813698985374
226,leman,1,4.6744957714371544
227,marooned,1,4.6744957714371544
228,goatskins,1,5.7731080601052644
229,trotted,1,5.079960879545319
230,smelt,1,4.163670147671164
231,fever,1,3.2882014103172637
232,dysentery,1,5.7731080601052644
233,cry,1,1.6955706161995447
234,touch,1,2.6376138441761143
235,rudder,1,3.981348590877209
236,join,1,3.065057859003054
237,principal,1,4.163670147671164
238,description,1,5.079960879545319
239,joyce,1,2.8286690809388237
240,guard,1,2.3719106784431085
241,dare,1,2.728585622381841
242,stop,1,2.5542322352370634
243,bandoleer,1,5.7731080601052644
244,lock,1,4.386813698985374
245,valet,1,5.7731080601052644
246,entirely,1,2.189589121649154
247,fitted,1,3.981348590877209
248,british,1,4.163670147671164
249,weeks,1,3.5758834827690444
250,piece,1,1.7126650495588447
251,feeling,1,3.2081587026437273
252,provided,1,5.079960879545319
253,owner,1,4.163670147671164
254,servant,1,3.6936665184254283
255,mutineers,1,2.6376138441761143
256,headpiece,1,5.079960879545319
257,gets,1,4.163670147671164
258,oftenest,1,5.7731080601052644
259,tied,1,3.981348590877209
260,doesn,1,5.079960879545319
261,lie,1,1.6787634978831634
262,cheese,1,3.6936665184254283
263,severely,1,4.386813698985374
264,stuck,1,2.8827363022090995
265,raising,1,3.5758834827690444
266,needn,1,4.386813698985374
267,husky,1,5.7731080601052644
268,particle,1,5.7731080601052644
269,whiff,1,4.6744957714371544
270,divide,1,5.7731080601052644
271,affy,1,5.079960879545319
272,davy,1,3.981348590877209
273,roared,1,2.8286690809388237
274,growling,1,4.6744957714371544
275,failures,1,4.6744957714371544
276,truce,1,3.981348590877209
277,discipline,1,3.981348590877209
278,drub,1,5.7731080601052644
279,west,1,2.0842286059913278
280,foes,1,3.4705229671112185
281,hawkins,1,1.8218643415238367
282,eight,1,2.477271194100935
283,number,1,2.3073721573055375
284,spot,1,2.246747535489103
285,earshot,1,3.981348590877209
286,floated,1,5.079960879545319
287,sized,1,5.7731080601052644
288,thwart,1,4.6744957714371544
289,coracle,1,2.5542322352370634
290,grained,1,5.7731080601052644
291,lop,1,4.6744957714371544
