,collocate,raw_frequency,MI
0,f,1,8.417254459227994
1,troubles,1,6.807816546793894
2,child,1,5.613894078321459
3,clung,1,6.9131770624517195
4,rogues,1,6.712506366989569
5,an,1,2.6504971854104045
6,honest,1,5.198378634359793
7,mother,1,5.140109726235818
8,age,1,6.545452282326402
9,inn,1,5.421522185674003
10,colour,1,5.613894078321459
11,pair,1,5.198378634359793
12,whole,1,4.322909897005894
13,did,1,3.596972893622957
14,pious,1,7.318642170559884
15,were,1,2.2218291802225765
16,providence,1,7.318642170559884
17,ruin,1,6.402351438685729
18,land,1,5.281760243298844
19,barons,1,9.11040163978794
20,returned,1,3.6810560108334984
21,may,1,3.530671813801717
22,well,1,2.831880215622095
23,warrant,1,6.9131770624517195
24,replied,1,3.928618089495854
25,field,1,5.81456477378361
26,sure,1,3.9342519072141102
27,world,1,4.728375005114057
28,hope,1,4.525434161117367
29,comfort,1,6.545452282326402
30,faugh,1,9.11040163978794
31,arrived,1,6.712506366989569
32,laughed,1,5.8915258149197385
33,aloud,1,5.81456477378361
34,ah,1,4.905709020396973
35,master,1,4.154574582186679
36,d,1,5.326212005869678
37,deadly,1,6.220029881891774
38,sin,1,6.712506366989569
39,besides,1,4.847721762746624
40,fit,1,5.613894078321459
41,straw,1,7.318642170559884
42,manner,1,5.03286419588222
43,until,1,4.999527775614628
44,now,1,2.473143608503482
45,took,1,4.010535211963741
46,nay,1,3.9119046085221134
47,bennet,1,4.8908939346118325
48,cruel,1,5.932347809439993
49,who,1,3.2668572227565797
50,protectors,1,9.11040163978794
51,wed,1,6.471344310172681
52,mistresse,1,9.11040163978794
53,joan,1,6.402351438685729
54,sedley,1,6.807816546793894
55,n,1,4.999527775614628
56,face,1,3.6297627164459483
57,fits,1,7.500963727353839
58,mind,1,4.004456165887358
59,daidling,1,9.11040163978794
60,here,1,2.634968923083849
61,home,1,4.951518556428267
62,fear,1,4.86190639773858
63,suitable,1,7.164491490732626
64,companion,1,5.584041115171778
65,three,1,3.9119046085221134
66,serious,1,6.337812917548158
67,words,1,4.190420713959814
68,drolling,1,9.11040163978794
69,best,1,4.42827041266372
70,foot,1,4.766596217934255
71,forrit,1,8.01178935111983
72,should,1,3.26107685984108
73,aye,1,5.499483727143715
74,give,1,4.07344903737431
75,them,1,2.8998015627632863
76,ere,1,5.30373915001762
77,bye,1,6.807816546793894
78,braw,1,6.471344310172681
79,forget,1,5.6446657369882125
80,thon,1,7.500963727353839
81,t,1,3.497273533399869
82,went,1,3.8021339423867344
83,out,1,2.633429276898257
84,by,1,2.0178279238132606
85,kale,1,8.01178935111983
86,yard,1,6.9131770624517195
87,up,1,2.8041263528399236
88,lane,1,6.402351438685729
89,am,1,3.1442549006642473
90,long,1,3.493630542121368
91,syne,1,7.500963727353839
92,your,1,2.31023157148574
93,would,1,2.3651652903035774
94,stumble,1,7.500963727353839
95,grange,1,7.500963727353839
96,durance,1,9.11040163978794
97,wonderful,1,6.545452282326402
98,think,1,3.157158305500155
99,gave,1,4.400871438475606
100,fighting,1,6.220029881891774
101,same,1,3.534452536641623
102,say,1,3.5497200087724115
103,certain,1,5.198378634359793
104,frail,1,7.500963727353839
105,blind,1,5.421522185674003
106,witty,1,8.01178935111983
107,highly,1,6.9131770624517195
108,fairly,1,5.584041115171778
109,another,1,3.7776828465225702
110,thing,1,3.8021339423867344
111,because,1,5.067350371953389
112,are,1,2.754293979092048
113,only,1,3.617340196447391
114,jean,1,9.11040163978794
115,kay,1,9.11040163978794
116,name,1,3.8792930229333527
117,feckless,1,8.01178935111983
118,creature,1,6.114669366233948
119,surely,1,6.402351438685729
120,her,1,2.3430585145225473
121,er,1,8.01178935111983
122,thinking,1,4.905709020396973
123,widow,1,8.01178935111983
124,catriona,1,4.099766345691684
125,how,1,3.5691380946295133
126,country,1,4.703682392523686
127,will,1,2.4810383863504906
128,ding,1,7.724107278668049
129,daft,1,6.337812917548158
130,warms,1,9.11040163978794
131,brave,1,5.140109726235818
132,got,1,4.093121802973015
133,drink,1,5.281760243298844
134,wonder,1,5.472815480061554
135,simplicity,1,7.500963727353839
136,felt,1,5.499483727143715
137,these,1,3.3082832644108766
138,hired,1,7.724107278668049
139,some,1,2.9303849861353664
140,decent,1,6.402351438685729
141,poor,1,3.8739596769579903
142,third,1,5.472815480061554
143,us,1,3.0168318697428034
144,de,1,8.01178935111983
145,about,1,3.1340507304900056
146,davie,1,5.067350371953389
147,willing,1,6.625494989999939
148,on,1,1.8526939626278967
149,one,1,2.419559362369376
150,hand,1,3.1519769467581575
151,not,1,1.8470720223111028
152,,1,8.417254459227994
153,our,2,3.9258130385682457
154,more,2,3.2567634095873608
155,m,2,4.983267254742848
156,as,2,2.368110800533334
157,this,2,2.6887793719814215
158,kind,2,4.920746897761513
159,if,2,3.1040484801862065
160,live,2,6.712506366989569
161,his,2,2.0924475685077266
162,when,2,3.4579124595192887
163,which,2,3.5194146592770825
164,there,2,2.849864609477348
165,had,2,2.1648689964717724
166,other,2,4.054155834439631
167,whom,2,5.292689313831034
168,from,2,3.1226941415576697
169,always,2,5.760497552513335
170,with,2,2.1059734735455415
171,good,2,3.4268218724492576
172,lady,2,5.08504994905279
173,still,2,3.9399176447497872
174,says,2,4.044647046470604
175,all,2,2.8179070027086763
176,help,2,5.249671928747344
177,see,2,3.640234016313243
178,they,3,3.3966688342785702
179,ll,3,4.195298772413247
180,have,3,2.9849891201702183
181,but,3,2.6121194903115055
182,we,3,3.1459657650678765
183,any,3,4.82451886566696
184,ye,3,3.258199160013465
185,gentle,3,7.811118655657678
186,way,3,4.406895553078987
187,no,3,3.5369809829949816
188,said,4,3.161714122036016
189,old,4,4.776384224300418
190,it,4,2.4527115696862762
191,he,4,2.411209228804984
192,at,4,3.223603404908308
193,very,4,4.246720758648347
194,you,4,2.578431314812556
195,young,4,5.094018619035551
196,man,5,4.050341462364161
197,she,5,3.851865143251747
198,be,5,3.332130313140999
199,in,5,2.4700030667963375
200,me,5,3.1681273368707292
201,that,6,2.8604263975284563
202,my,6,3.095057818890014
203,is,6,3.703977531914051
204,for,6,3.235939183353269
205,was,8,2.981623797970941
206,s,9,3.884057772864992
207,i,11,2.580319451584308
208,of,13,2.874032049584235
209,to,15,3.080678380562867
210,and,17,2.7523554996807644
211,a,23,3.5187659404739238
212,the,24,2.7142361653724674
