Name,eigenvector,betweenness,degree
Donald Trump,0.27538262370394523,0.022526393831184863,19
Hillary Clinton,0.24620288116886505,0.005486498248985507,16
Ted Cruz,0.18558075646921757,8.494733265375467e-05,9
Bernie Sanders,0.13398063049536954,0.00015464770816452778,6
Clinton,0.48537166812071664,0.6882486204096806,81
Trump,0.2922885825752531,0.01385758595238718,21
Cruz,0.26299818334189157,0.04346438663462103,20
Hillary,0.1447634893959164,0.011228989796777769,11
John Kasich,0.13877556002692756,0.0,6
Kasich,0.16423348273089763,2.8315777551251557e-05,9
Obama,0.16064060688347245,0.052201888797199704,10
Bush,0.2878262194447842,0.08940742026878634,26
George W. Bush,0.08362896490312863,0.0,3
Ronald Reagan,0.038096987930319876,0.0,1
Reagan,0.041341855239225886,0.0,3
Richard Nixon,0.038096987930319876,0.0,1
Bill Clinton,0.09866370003829705,6.135085136104504e-05,5
Bill,0.038096987930319876,0.0,1
John McCain,0.038096987930319876,0.0,1
Jeb Bush,0.1765067258124756,0.006371049949031601,9
Barack Obama,0.12456711297161946,0.0,5
McConnell,0.0018982005979219269,0.0,3
George H.W. Bush,0.022590843530621754,0.0,1
Rand Paul,0.06480328365735402,0.003523540679503986,3
Ryan,0.09547338154007745,0.026266793952828608,7
Joe Biden,0.038096987930319876,0.0,1
Elizabeth Warren,0.038096987930319876,0.0,1
Paul Ryan,0.04559050616805462,0.0,2
Marco Rubio,0.17362857491009376,0.0,8
Romney,0.11420699569978963,0.0,6
Hillary Rodham Clinton,0.038096987930319876,0.0,1
Biden,0.038096987930319876,0.0,1
Warren,0.038096987930319876,0.0,1
Boehner,0.0222862687976321,0.04850492694529392,7
John Boehner,0.0017492174875447903,0.0,1
Sanders,0.038096987930319876,0.0,1
Hillary Clinton's,0.038096987930319876,0.0,1
Donald Trump's,0.038096987930319876,0.0,1
Mateen,1.3061722866100128e-16,0.0,2
Paul,0.052434665047441376,0.00018122097632800998,5
Stevens,0.038096987930319876,0.0,1
Ben Carson,0.08755140705345527,0.0025418129648506816,4
Carson,0.07926723782343113,4.247366632687734e-05,6
Jeb,0.039548456541420134,0.0,4
Chris Christie,0.08132994634937159,0.0,3
Christie,0.022590843530621754,0.0,1
Brown,1.9476273758746577e-14,0.0,3
Wilson,1.2036999157103059e-14,0.0,1
Johnson,0.04162011383681098,0.0163098878695209,4
Wasserman Schultz,0.038096987930319876,0.0,1
Fiorina,0.046163955165189015,0.0163098878695209,5
Carly Fiorina,0.003623270545236927,0.0,1
Bernie,0.038096987930319876,0.0,1
Clintons,0.08841230590702166,0.00022652622041001246,7
Whitewater,0.038096987930319876,0.0,1
Monica Lewinsky,0.038096987930319876,0.0,1
Lewinsky,0.038096987930319876,0.0,1
Osama bin Laden,0.038096987930319876,0.0,1
Blackberry,0.038096987930319876,0.0,1
Scalia,1.3061722866100128e-16,0.0,2
Robby Mook,0.038096987930319876,0.0,1
Politico,0.038096987930319876,0.0,1
Kennedy,0.041341855239225886,0.0,3
Tim Kaine,0.038096987930319876,0.0,1
Kaine,0.038096987930319876,0.0,1
Netanyahu,0.01368216153587825,0.0,3
McMullin,0.038096987930319876,0.0,1
Stein,0.0032667084813153913,0.0,1
McCain,1.3061722866100128e-16,0.0,2
John Podesta,0.038096987930319876,0.0,1
Comey,0.038096987930319876,0.0,1
Michelle Obama,0.038096987930319876,0.0,1
Mike Pence,0.038096987930319876,0.0,1
Al Gore,0.038096987930319876,0.0,1
Vladimir Putin,0.038096987930319876,0.0,1
Putin,0.041341855239225886,0.0,3
Christopher Stevens,0.038096987930319876,0.0,1
Sidney Blumenthal,0.038096987930319876,0.0,1
McCarthy,0.001898200597921927,0.0,3
Martin O'Malley,0.038096987930319876,0.0,1
Jim Webb,0.038096987930319876,0.0,1
Ted,0.020642114888429954,0.0,1
Francis,1.3061722866100128e-16,0.0,2
Davis,1.3061722866100128e-16,0.0,2
Rodham,0.038096987930319876,0.0,1
BlackBerry,0.038096987930319876,0.0,1
Sullivan,0.038096987930319876,0.0,1
Reid,0.038096987930319876,0.0,1
Pagliano,0.038096987930319876,0.0,1
Abedin,0.0630126526358489,0.02245775140780238,7
Powell,0.038096987930319876,0.0,1
Marco,0.022590843530621754,0.0,1
Latino,0.038096987930319876,0.0,1
Gowdy,0.038096987930319876,0.0,1
Blumenthal,0.038096987930319876,0.0,1
Scott Walker,0.038096987930319876,0.0,1
Bannon,0.038096987930319876,0.0,1
Williams,0.038096987930319876,0.0,1
Roberts,1.3061722866100128e-16,0.0,2
Gore,0.038096987930319876,0.0,1
Murphy,0.022590843530621754,0.0,1
Tai,1.3061722866100128e-16,0.0,2
Jordan,0.038096987930319876,0.0,1
Tipper,0.038096987930319876,0.0,1
Hillary Rodham,0.038096987930319876,0.0,1
Scott,1.3061722866100128e-16,0.0,2
Weiner,0.004945806159376885,0.0,1
Huma,0.01630805232531877,0.0,2
Bergdahl,1.3061722866100128e-16,0.0,2
Buckley,1.3061722866100128e-16,0.0,2
