,precision,recall,f1-score,support
Season 1,0.4090909090909091,0.5,0.45,18.0
Season 2,0.25,0.08333333333333333,0.125,24.0
Season 3,0.14285714285714285,0.15,0.14634146341463414,20.0
Season 4,0.1,0.05,0.06666666666666667,20.0
Season 5,0.18181818181818182,0.09523809523809523,0.125,21.0
Season 6,0.0967741935483871,0.25,0.13953488372093023,12.0
Season 7,0.4090909090909091,0.6428571428571429,0.5000000000000001,14.0
Season 8,0.391304347826087,0.47368421052631576,0.42857142857142855,19.0
accuracy,0.25675675675675674,0.25675675675675674,0.25675675675675674,0.25675675675675674
macro avg,0.24761696052895213,0.2806390977443609,0.24763930529670747,148.0
weighted avg,0.2456912614696626,0.25675675675675674,0.2351516104671238,148.0
